MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.5,R,10000,3,988.2426326782349,377.47978095070323,358.37230256826217,398.89782064965016,14259.5,3770,26812,6,3.5,3,4,21333936390.0,17383287300,37228616200
0.5,R,10000,4,899.5509756965249,372.3910734880757,358.37230256826217,403.29733070706595,12094.6,1121,29023,6,3.1,3,4,103088173860.0,17808536800,581662863400
0.5,R,10000,5,963.516374012602,389.9035282111816,358.37230256826217,482.99879616824376,9386.2,1162,20059,6,3.1,3,4,375747665430.0,21672128400,727464085000
0.5,R,10000,6,1046.5025378268565,374.0692395555874,358.37230256826217,398.30805134533637,10835.5,2535,23361,6,3.0,3,3,320802722630.0,22468962400,728732186900
0.5,R,10000,7,933.0799411956282,380.30994669582867,358.37230256826217,423.1210484453178,12164.5,3248,28035,6,3.1,3,4,266176740110.0,18648970800,725326030300
0.5,R,10000,8,1017.2902861258381,395.0750320287464,358.37230256826217,436.0070502144815,9099.3,2649,20704,6,3.0,3,3,466936317660.0,25305351500,728287842400
0.5,R,10000,9,1111.6904824688827,409.91809039883435,363.5822169979861,479.3180550017548,8792.0,1262,12649,7,3.1,3,4,543904990590.0,273416932500,733777104300
0.5,R,10000,10,957.7077192761143,379.06261686252526,358.37230256826217,444.1358957837714,16467.7,8010,26317,6,3.0,3,3,326923670210.0,25256267800,730332467000
0.5,R,10000,15,955.6037673621597,389.02182798358433,361.03467597176893,440.80315741587606,18672.0,7184,33461,6,3.0,3,3,421672037550.0,25004163100,726577503900
0.5,R,10000,20,917.4439907565556,382.8133749830869,358.37230256826217,433.26902292894044,23424.2,13707,35344,6,3.1,3,4,275987917170.0,29884046700,554336645600
0.5,R,10000,25,988.2264753300915,385.038535609925,358.37230256826217,426.3758118761465,27622.4,12279,39357,6,3.1,3,4,208056983230.0,24242535700,553091738300
0.5,R,10000,30,974.6862984527824,389.4488321783871,358.37230256826217,487.57125013039183,30986.2,10494,39996,6,3.2,3,4,155864209470.0,26490969300,556336288800
0.5,R,10000,40,1063.6087014222112,382.17405045980274,358.37230256826217,449.0507156563267,32565.6,20641,39776,7,3.1,3,4,145636477790.0,30151451600,383522582400
0.5,R,10000,50,1035.324959291401,376.57061787668175,361.0346759717689,410.3584262104694,34571.9,30764,39670,6,3.0,3,3,161069521050.0,34314322300,217342745300
0.5,R,10000,60,1003.1378035034415,391.65033209172213,368.5101882825221,435.43648602878767,35526.8,30499,39305,6,3.1,3,4,140446597910.0,30801158900,213413736200
0.5,R,10000,70,1076.7461544608996,421.5468172674605,374.2245986637506,460.4907571024661,34630.7,30877,38976,7,3.3,3,4,145948832990.0,30398060100,236219172400
0.5,R,10000,80,1107.767284309805,445.5297517300813,417.84893730861006,466.88250968227055,35237.8,30311,39920,7,3.7,3,4,66119381720.0,30641178600,209056417700
0.5,R,10000,90,1147.4301381820094,453.30773264752423,398.1347729119334,490.58938823011704,34931.7,31454,39350,7,3.7,3,4,86152674970.0,30911869900,214905343700
0.5,R,10000,100,1064.0244126345815,454.5193509930967,406.22560130070656,484.02940311292895,36773.2,33642,39765,7,3.7,3,4,86664340430.0,31399586000,214814670400
0.5,R,10000,150,941.9982022080522,494.73958733557265,470.55784467360377,512.5473931576464,35810.2,32716,39943,6,4.0,4,4,35105730170.0,32992829600,36478307900
0.5,R,10000,200,995.1828774275393,512.9069579509334,487.8839635138129,531.7127708699815,34860.3,27635,38821,6,4.0,4,4,35075601710.0,33543678300,37485594400
0.5,R,10000,300,1015.849053390619,527.6233559264856,508.8606345645187,545.6054033709835,37478.3,33136,39839,6,4.0,4,4,36834068360.0,33948100200,39532189700
0.5,R,10000,400,1001.5701199434619,527.7669809662095,509.5560907063603,554.0954318150096,32719.9,27121,38517,6,4.0,4,4,37285427030.0,34649375200,39343450200
0.5,R,10000,500,1092.4280492283742,542.6365007141006,511.91698557280597,638.781810174978,30760.6,11489,39661,7,4.1,4,5,36709753630.0,33924889200,40085712500
0.5,R,10000,1000,922.192681130514,566.5294572429335,527.4720581978495,663.9219381542886,27114.9,10271,39256,6,4.2,4,5,73769857950.0,34643801400,387917344200
0.5,RS,10000,3,1022.1028165226622,381.33544453817586,358.37230256826217,434.5814910014491,17002.7,8662,31598,6,3.6,3,5,19760079850.0,17638430500,22158921500
0.5,RS,10000,4,958.6999690846817,367.06614600994186,358.37230256826217,402.59856978214214,13386.2,5080,29785,6,3.2,3,4,23655719790.0,18290712800,29482351200
0.5,RS,10000,5,929.481526865966,366.7781043411914,358.37230256826217,395.66089877498064,17139.7,6614,38177,6,3.2,3,4,23864024960.0,18658263700,29583609200
0.5,RS,10000,6,1013.0903524579611,379.90935261926023,358.37230256826217,403.12034611985166,18975.1,10303,26728,6,3.4,3,4,25030267950.0,18972313700,31972453100
0.5,RS,10000,7,1050.23142244464,370.230844202594,358.37230256826217,395.66089877498064,20599.8,11660,28496,7,3.3,3,4,23043596270.0,18931689200,28829084500
0.5,RS,10000,8,912.4191959677947,363.21553833908365,358.37230256826217,386.1252528795218,21101.9,10445,29530,6,3.0,3,3,25218431460.0,21761275700,29080893300
