MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.96,R,1000,3,998.8694317196441,419.0376643578196,419.0376643578196,419.0376643578196,5605.0,5605,5605,6,4.0,4,4,41885789900.0,41885789900,41885789900
0.96,R,1000,4,971.0003552356569,394.29458209843824,394.29458209843824,394.29458209843824,10637.0,10637,10637,6,4.0,4,4,44263111500.0,44263111500,44263111500
0.96,R,1000,5,1009.4746388554865,361.9758066527561,361.9758066527561,361.9758066527561,3674.0,3674,3674,6,3.0,3,3,50354222200.0,50354222200,50354222200
0.96,R,1000,6,980.0414105272146,361.0346759717689,361.0346759717689,361.0346759717689,6818.0,6818,6818,6,3.0,3,3,53254693600.0,53254693600,53254693600
0.96,R,1000,7,956.5978047392811,361.1335001609543,361.1335001609543,361.1335001609543,7945.0,7945,7945,6,3.0,3,3,48705061700.0,48705061700,48705061700
0.96,R,1000,8,903.0326465517423,400.4168308096023,400.4168308096023,400.4168308096023,9052.0,9052,9052,6,4.0,4,4,42699245400.0,42699245400,42699245400
0.96,R,1000,9,899.048252561796,400.49577498230553,400.49577498230553,400.49577498230553,11147.0,11147,11147,6,4.0,4,4,44293118500.0,44293118500,44293118500
0.96,R,1000,10,989.8475049719318,365.5421945693131,365.5421945693131,365.5421945693131,7418.0,7418,7418,6,3.0,3,3,49929373300.0,49929373300,49929373300
0.96,R,1000,15,1109.8323780600163,392.81383553129524,392.81383553129524,392.81383553129524,8034.0,8034,8034,7,3.0,3,3,638319033800.0,638319033800,638319033800
0.96,R,1000,20,1002.5471695666055,403.5760548555453,403.5760548555453,403.5760548555453,12566.0,12566,12566,6,4.0,4,4,47548907500.0,47548907500,47548907500
0.96,R,1000,25,989.3652378795628,404.90247171538,404.90247171538,404.90247171538,9436.0,9436,9436,6,3.0,3,3,1478321511200.0,1478321511200,1478321511200
0.96,R,1000,30,1031.7229255188856,417.5609787428208,417.5609787428208,417.5609787428208,8947.0,8947,8947,6,3.0,3,3,400496682900.0,400496682900,400496682900
