size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,1310.3783602951362,1112.6363947247437,1528.8179958189487,0.0,0,0,0.0,0.0,0.0,0.0,11.25,10,12,0,0
0,40,765.1060960962566,711.2264661660794,815.9183475628722,22.0,20,24,11.799222230911255,10.830780029296875,13.087396383285522,5.75,7.5,7,8,100.0,0.0
0,160,800.3131326597036,764.528659164295,873.0021547754325,20.5,14,26,12.108188450336456,8.455549955368042,15.491073846817017,5.25,8.25,8,9,96.3415,3.6585
0,640,784.9478473348819,755.9829140717354,842.4396321648755,20.0,16,26,10.987411737442017,8.835756301879883,13.696255207061768,3.75,8.25,8,9,98.75,1.25
4,0,1519.603683199851,1425.5806081146713,1663.5997263142824,0.0,0,0,0.0,0.0,0.0,0.0,13.0,12,14,0,0
4,40,765.1920518835066,757.4974262635156,775.0439611639342,36.0,32,40,21.155884444713593,17.674605131149292,24.312177658081055,4.75,8.0,8,8,96.5278,3.4722
4,160,773.5625400295035,712.3056882825538,847.1699417129266,51.25,39,73,31.89681839942932,21.901888608932495,47.70943069458008,4.5,7.75,7,8,81.9512,18.0488
4,640,766.5276907553462,751.8670120991624,799.4160190705869,44.0,31,64,27.625437200069427,18.912487030029297,42.233906507492065,4.5,8.0,8,8,84.6591,15.3409
16,0,1340.1604540696387,1151.9541038981351,1455.3866440681047,0.0,0,0,0.0,0.0,0.0,0.0,11.5,10,13,0,0
16,40,774.2269629657828,757.5569813674704,810.7625215794403,38.75,35,40,23.408457040786743,21.856920957565308,24.795401573181152,3.75,8.0,8,8,88.3871,11.6129
16,160,761.1716952169343,710.1865389702557,808.6091314787797,133.75,55,160,87.48106229305267,34.88403534889221,105.70216417312622,4.5,7.75,7,8,80.9346,19.0654
16,640,745.8612788357143,713.3209936805331,761.4319404545888,83.25,59,130,53.92167431116104,37.58076238632202,84.52112936973572,6.0,7.75,7,8,81.3814,18.6186
64,0,1283.2113602759293,1067.4234559794481,1450.860352103716,0.0,0,0,0.0,0.0,0.0,0.0,11.25,10,13,0,0
64,40,765.1795140427269,756.5238893514384,769.6764767501531,40.0,40,40,22.607242465019226,21.5551917552948,23.48488974571228,4.75,7.75,7,8,92.5,7.5
64,160,753.9635424512887,704.1337829087856,775.1349178843077,160.0,160,160,106.51319468021393,101.09718608856201,109.2478895187378,6.0,7.75,7,8,66.0938,33.9062
64,640,738.6985124846804,710.5216843123,775.8599132530636,160.75,149,189,106.79285275936127,98.51299095153809,124.55635809898376,5.0,7.5,7,8,65.6299,34.3701
