size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration,avg_relocate (%),avg_2_opt (%)
0,0,1054.3690038158018,928.0307747019151,1109.9274349279747,0.0,0,0,0,0
0,40,441.4795133649925,376.37384393799346,494.267323890449,28.25,24,36,97.3451,2.6549
0,160,420.9958916575599,394.29458209843824,452.22327522103063,28.75,22,34,100.0,0.0
0,640,412.4149384150227,398.53386429790737,441.42383015386645,25.5,23,28,99.0196,0.9804
4,0,957.6445452643813,926.5874366490673,1002.226795873248,0.0,0,0,0,0
4,40,417.04376222272646,367.57885818399586,446.6665487733251,38.5,36,40,98.0519,1.9481
4,160,429.8306390438757,404.0525329606456,445.34663509744496,55.5,41,72,95.9459,4.0541
4,640,406.9181849962112,361.1335001609543,447.64141071977457,185.5,32,640,82.7493,17.2507
16,0,972.8408739067254,921.9266356724694,1035.2659378501758,0.0,0,0,0,0
16,40,408.95621546763283,403.96488645868453,419.61804672813037,40.0,40,40,96.875,3.125
16,160,400.55937846071987,361.1335001609543,445.346635097445,134.0,56,160,90.4851,9.5149
16,640,387.79993853206076,358.37230256826217,398.63268848709276,382.75,155,640,91.6395,8.3605
64,0,1026.3843881072055,919.221668773575,1123.5972793832339,0.0,0,0,0,0
64,40,423.2592588153427,395.66089877498064,453.32708688555994,40.0,40,40,96.25,3.75
64,160,401.1225909462115,374.773204746872,414.7970049369932,130.75,43,160,85.4685,14.5315
64,640,382.34645642787655,361.0346759717689,411.9334751018082,512.25,423,640,76.0859,23.9141
