size_tabu,nb_iteration,avg
0,0,1023.8874981611975
0,100,453.7873807452433
0,200,429.7339463270307
0,300,408.25302424575125
0,400,461.5675417319578
0,500,443.0913527861165
0,600,443.56775496578587
0,700,442.986976782591
0,800,459.8248412994853
0,900,448.88225379924745
0,1000,419.22139525866083
0,1100,450.5361964268841
0,1200,456.25748405427544
0,1300,448.66834259408955
0,1400,453.84515911475006
0,1500,475.14366241159803
0,1600,447.2283413163552
0,1700,468.111460412548
0,1800,457.23753120364285
0,1900,429.44571532314177
2,0,979.1043786549022
2,100,440.47371444265394
2,200,443.2567034739493
2,300,429.6883460926721
2,400,446.26334775835664
2,500,415.39050845557387
2,600,443.0314781199147
2,700,458.1781586727344
2,800,467.8200141916378
2,900,454.5914214684037
2,1000,420.51281241683364
2,1100,430.213915627558
2,1200,437.1790417794157
2,1300,417.19706642700294
2,1400,427.2784682791595
2,1500,419.4857161607369
2,1600,430.02859056298746
2,1700,433.25693886550516
2,1800,478.3795749661903
2,1900,463.86969724306846
4,0,1005.0276658213431
4,100,436.8664089038406
4,200,446.03673713119514
4,300,447.1778445759526
4,400,440.7333816599154
4,500,428.26473309392435
4,600,429.70696235588275
4,700,417.5700552475826
4,800,416.82380189942353
4,900,441.82520538034146
4,1000,457.96652103323385
4,1100,445.6544254477054
4,1200,437.521813993287
4,1300,422.97475631038424
4,1400,449.9069334085159
4,1500,453.86250595581356
4,1600,443.86691251650956
0,0,1018.4734333722058,1010.6023888211797,1026.3444779232318
0,0,977.3745328193253,975.3522865642544,979.3967790743961
0,0,1047.519408688826,1005.8758689906829,1089.162948386969
0,100,419.524745290077,402.99061109021727,436.05887948993677
0,200,455.519175603171,436.05887948993677,474.9794717164052
