size_tabu,nb_iteration,avg,min,max
0,0,1077.4118770720283,1024.3044657632324,1130.5192883808243
0,40,389.8192427534899,358.37230256826217,421.2661829387177
0,160,418.9080232229911,414.7494266321761,423.06661981380614
0,640,435.85157784709793,434.5814910014491,437.1216646927468
4,0,954.6147144013368,953.2061874692129,956.0232413334606
4,40,409.6306593807757,398.63268848709276,420.62863027445854
4,160,404.3447392009999,395.66089877498064,413.02857962701916
4,640,397.1467936310367,395.66089877498064,398.63268848709276
16,0,1004.9036706558553,973.5462424433779,1036.2610988683327
16,40,445.77913970024997,441.21270410998915,450.34557529051074
16,160,399.3601348971428,394.29458209843824,404.4256876958474
16,640,397.80808348660895,361.0346759717689,434.581491001449
64,0,1026.1994137453826,956.9362094524379,1095.4626180383275
64,40,403.70750789414365,400.9100287446074,406.5049870436799
64,160,398.7213151392716,396.12557582952036,401.3170544490228
64,640,375.5509474771902,361.03467597176893,390.06721898261145
