size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration
0,0,989.97699496784,989.97699496784,989.97699496784,0.0,0,0
0,40,431.9964711329004,431.9964711329004,431.9964711329004,26.0,26,26
0,160,444.7991999789131,444.7991999789131,444.7991999789131,30.0,30,30
0,640,398.63268848709276,398.63268848709276,398.63268848709276,30.0,30,30
4,0,1020.7535470811814,1020.7535470811814,1020.7535470811814,0.0,0,0
4,40,439.448494848016,439.448494848016,439.448494848016,33.0,33,33
4,160,410.5289622634841,410.5289622634841,410.5289622634841,38.0,38,38
4,640,445.32575836772327,445.32575836772327,445.32575836772327,37.0,37,37
16,0,972.8930374687043,972.8930374687043,972.8930374687043,0.0,0,0
16,40,418.5668414521642,418.5668414521642,418.5668414521642,40.0,40,40
16,160,398.3232721784873,398.3232721784873,398.3232721784873,160.0,160,160
16,640,394.29458209843824,394.29458209843824,394.29458209843824,181.0,181,181
64,0,1061.1766413867067,1061.1766413867067,1061.1766413867067,0.0,0,0
64,40,448.99965867095716,448.99965867095716,448.99965867095716,40.0,40,40
64,160,427.85648846569427,427.85648846569427,427.85648846569427,160.0,160,160
