size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration
0,0,1040.0704560436245,985.1431326315047,1085.5258045685425,0.0,0,0
0,40,957.3526375323336,886.8423741338668,1004.5986949229676,6.25,4,7
0,160,926.7417306758266,889.4320383690535,976.8234197776435,6.75,4,9
0,640,903.435917339429,889.8516282154883,927.3416669500142,6.0,5,8
4,0,935.1638140723828,883.749052363607,980.9026235192466,0.0,0,0
4,40,963.1880258982601,883.1823824413032,1061.1400120426033,32.0,21,40
4,160,897.526124963894,881.5820277391904,921.6129303475719,26.75,24,32
4,640,954.0775528093615,902.5775999170559,997.3299724120417,21.5,19,23
16,0,1053.3095632124023,992.672727347019,1078.1866847999695,0.0,0,0
16,40,917.7856918188047,800.1439636338808,1038.194906369141,14.75,10,21
16,160,929.8885206156265,879.8397384244905,1000.5663473545844,15.25,13,18
16,640,872.9225501723639,765.8368612421135,949.9256266148058,14.5,12,18
64,0,1019.6142468679493,979.0790948508112,1077.3168503828415,0.0,0,0
64,40,982.2662445734578,958.1558067788607,1005.4748488285593,14.25,10,16
64,160,973.3880132809206,892.0401337420348,1011.5645541916222,15.75,14,20
64,640,980.3848722315176,939.0578883745244,1045.487566735248,13.0,9,17
