size_tabu,nb_iteration,avg,min,max,avg_iteration,min_iteration,max_iteration,avg_relocate (%),avg_2_opt (%)
0,0,982.5236222338673,825.8351093198755,1057.9929136121646,0.0,0,0,0,0
0,40,411.0952716233667,394.29458209843824,434.581491001449,31.0,24,38,100.0,0.0
0,160,405.5816665624849,390.474005877231,414.0581826356978,28.75,24,32,98.26086956521739,1.7391304347826086
0,640,422.0998902072697,395.66089877498064,449.3252807473975,27.0,23,31,99.07407407407408,0.9259259259259258
4,0,969.8818064114945,955.1186768246499,984.2387082960447,0.0,0,0,0,0
4,40,415.23658341446384,395.31771652692703,427.8939977570721,40.0,40,40,98.125,1.875
4,160,434.42383198645234,388.6243270241499,474.5876574181675,49.0,35,81,94.89795918367348,5.1020408163265305
4,640,390.52222880063636,358.37230256826217,412.39481508432186,43.75,38,46,97.71428571428571,2.2857142857142856
16,0,1050.620861720476,968.6387845564683,1140.6233041519372,0.0,0,0,0,0
16,40,417.99441317149274,362.82904936057207,495.29135075904736,40.0,40,40,95.625,4.375
16,160,397.10383602981034,358.37230256826217,434.82010017982634,160.0,160,160,90.46875,9.53125
16,640,373.1721036544732,358.37230256826217,394.2945820984383,307.5,64,640,85.9349593495935,14.065040650406505
64,0,942.587761562913,912.4735986006718,977.7920967248392,0.0,0,0,0,0
64,40,408.35673248270064,394.29458209843824,434.5814910014491,40.0,40,40,96.875,3.125
64,160,394.57219972054145,369.13820335976965,454.1956265772053,160.0,160,160,76.5625,23.4375
